simulation_count,games_played,strong_wins,strong_losses,ties,strong_win_rate
100,20,4,16,0,0.2
200,20,11,9,0,0.55
400,20,14,1,5,0.7
600,20,11,9,0,0.55
800,20,11,9,0,0.55
1000,20,15,3,2,0.75
1200,20,18,2,0,0.9
1400,20,18,2,0,0.9
1600,20,15,5,0,0.75
1800,20,15,3,2,0.75
2000,20,15,4,1,0.75
2200,20,19,1,0,0.95
2400,20,18,2,0,0.9
